filename,video-duration,fps,video-frames
v_sJFgo9H6zNo.mp4,138.966666666667,30,4169
v_u2uoYvo8J5s.mp4,208.633333333333,30,6259
v_0Gr4aKQzGYk.mp4,67.3333333333333,30,2020
v_--0edUL8zmA.mp4,92.0333333333333,30,2761
v_c_NlYvL96y0.mp4,125.233333333333,30,3757
v_hHiPEAiYKv0.mp4,83,30,2490
v_GCtrfXIBbwA.mp4,107.933333333333,30,3238
v_rs7er4e67ec.mp4,107.533333333333,30,3226
v_6ZabZdqdLyA.mp4,71.7666666666667,30,2153
v_yUSo_xjyGhM.mp4,120,30,3600
v_Ou24uqaFRPg.mp4,50.3666666666667,30,1511
v_sjyZWmvTGA4.mp4,35.8333333333333,30,1075
v_BxzOUJbq28s.mp4,225.3,30,6759
v_Z8yNbpjUSLc.mp4,166.4,30,4992
v_6uhLrPgbpUA.mp4,46.0666666666667,30,1382
v_jIQFVSymHQs.mp4,11.6333333333333,30,349
v_2U0vMYnC49c.mp4,50.5666666666667,30,1517
v_t2wawfMaTzM.mp4,66.1,30,1983
v_gKkk82LG8H0.mp4,121.466666666667,30,3644
v_UvuXGKesWS0.mp4,102.733333333333,30,3082
v_8pR6NBu7Ay0.mp4,196.333333333333,30,5890
v_-YjGbsbDoxs.mp4,162.3,30,4869
v_p800u2wCKbE.mp4,40.4,30,1212
v_BfnM0eyjB5Q.mp4,185.566666666667,30,5567
v_-Xl95IW5H_s.mp4,178.166666666667,30,5345
v_maXU1lGguxs.mp4,85.0666666666667,30,2552
v_R4ES1QLRvtg.mp4,187.266666666667,30,5618
v_jafEh82XETQ.mp4,111.533333333333,30,3346
v_0YQPGAsZPgY.mp4,166.033333333333,30,4981
v_5Bo0gFXxDQk.mp4,16.9333333333333,30,508
v_hmT9H0IjiGs.mp4,215.5,30,6465
v_97McCuWAynA.mp4,127.266666666667,30,3818
v_WEohpavjsIY.mp4,136.3,30,4089
v_IGcsVPa34Hc.mp4,214.333333333333,30,6430
v_qogdv5DWzkQ.mp4,221.333333333333,30,6640
v_gSeE_Ms-2TI.mp4,158.266666666667,30,4748
v_1PTNnaEu8xo.mp4,162.833333333333,30,4885
v_rhOtqArO-3Y.mp4,231.2,30,6936
v_xr64cSwpNOM.mp4,82.6,30,2478
v_xi4puZ1ulP4.mp4,226.1,30,6783
v_x99PS_O6JW8.mp4,116.8,30,3504
