video-name,t-start,t-end,action-label,video-duration,filename,fps,video-frames,temporal-region-label
sJFgo9H6zNo,0.01,123.42336739937599,Fun sliding down,138.96666666666667,v_sJFgo9H6zNo.mp4,30.0,4169,Action
u2uoYvo8J5s,127.33201508846798,201.39247572684462,Swinging at the playground,208.63333333333333,v_u2uoYvo8J5s.mp4,30.0,6259,Action
0Gr4aKQzGYk,30.096653368174724,56.67415180499219,Getting a piercing,67.33333333333333,v_0Gr4aKQzGYk.mp4,30.0,2020,Action
--0edUL8zmA,5.464839815912637,86.71837918408735,Dodgeball,92.03333333333332,v_--0edUL8zmA.mp4,30.0,2761,Action
c_NlYvL96y0,12.82082075,108.5218213728549,Ballet,125.23333333333332,v_c_NlYvL96y0.mp4,30.0,3757,Action
hHiPEAiYKv0,0.01,83.05780045351474,Shoveling snow,83.0,v_hHiPEAiYKv0.mp4,30.0,2490,Action
GCtrfXIBbwA,2.8637706708268333,20.046394695787832,Playing harmonica,107.93333333333334,v_GCtrfXIBbwA.mp4,30.0,3238,Action
rs7er4e67ec,28.70479095163807,44.9876255850234,Hurling,107.53333333333332,v_rs7er4e67ec.mp4,30.0,3226,Action
6ZabZdqdLyA,4.366113884555382,69.65332605304212,Swinging at the playground,71.76666666666667,v_6ZabZdqdLyA.mp4,30.0,2153,Action
yUSo_xjyGhM,1.4982488387970894,84.65105939203553,Washing dishes,120.0,v_yUSo_xjyGhM.mp4,30.0,3600,Action
yUSo_xjyGhM,106.93750979251169,117.79981376443057,Washing dishes,120.0,v_yUSo_xjyGhM.mp4,30.0,3600,Action
Ou24uqaFRPg,26.214528861154445,40.54198907956318,Polishing forniture,50.36666666666667,v_Ou24uqaFRPg.mp4,30.0,1511,Action
sjyZWmvTGA4,5.274515916380655,34.78936029953198,Blowing leaves,35.833333333333336,v_sjyZWmvTGA4.mp4,30.0,1075,Action
BxzOUJbq28s,5.273658346333853,218.7004399375975,Playing congas,225.3,v_BxzOUJbq28s.mp4,30.0,6759,Action
Z8yNbpjUSLc,52.46359126365054,143.36585335413415,Making a lemonade,166.4,v_Z8yNbpjUSLc.mp4,30.0,4992,Action
6uhLrPgbpUA,6.337222664586585,12.098334177847116,BMX,46.06666666666667,v_6uhLrPgbpUA.mp4,30.0,1382,Action
6uhLrPgbpUA,21.172084811232452,24.412710037441496,BMX,46.06666666666667,v_6uhLrPgbpUA.mp4,30.0,1382,Action
6uhLrPgbpUA,29.23764092979719,38.095349881435254,BMX,46.06666666666667,v_6uhLrPgbpUA.mp4,30.0,1382,Action
jIQFVSymHQs,0.28354788135725434,9.759535142199688,Playing kickball,11.633333333333333,v_jIQFVSymHQs.mp4,30.0,349,Action
2U0vMYnC49c,0.01,49.15295385862808,Removing ice from car,50.56666666666667,v_2U0vMYnC49c.mp4,30.0,1517,Action
t2wawfMaTzM,1.3425832542901717,9.294807145085805,Playing racquetball,66.1,v_t2wawfMaTzM.mp4,30.0,1983,Action
t2wawfMaTzM,18.383063020280808,34.49406207176287,Playing racquetball,66.1,v_t2wawfMaTzM.mp4,30.0,1983,Action
t2wawfMaTzM,39.554568184087366,55.768842870514824,Playing racquetball,66.1,v_t2wawfMaTzM.mp4,30.0,1983,Action
gKkk82LG8H0,0.01,110.91567327613106,Playing congas,121.46666666666668,v_gKkk82LG8H0.mp4,30.0,3644,Action
UvuXGKesWS0,9.937507020280814,33.97986271450858,Swimming,102.73333333333332,v_UvuXGKesWS0.mp4,30.0,3082,Action
UvuXGKesWS0,38.948616224648994,64.92699687987518,Swimming,102.73333333333332,v_UvuXGKesWS0.mp4,30.0,3082,Action
UvuXGKesWS0,70.85859906396256,101.79911856474259,Swimming,102.73333333333332,v_UvuXGKesWS0.mp4,30.0,3082,Action
8pR6NBu7Ay0,31.094469578783155,169.25807332293292,Paintball,196.33333333333331,v_8pR6NBu7Ay0.mp4,30.0,5890,Action
-YjGbsbDoxs,30.768311232449303,157.386875975039,Painting,162.3,v_-YjGbsbDoxs.mp4,30.0,4869,Action
p800u2wCKbE,8.523823970358814,15.532301457098287,Making a lemonade,40.4,v_p800u2wCKbE.mp4,30.0,1212,Action
p800u2wCKbE,33.337622639625586,36.49459448049922,Making a lemonade,40.4,v_p800u2wCKbE.mp4,30.0,1212,Action
BfnM0eyjB5Q,15.492493287486598,168.67995027964383,Assembling bicycle,185.56666666666663,v_BfnM0eyjB5Q.mp4,30.0,5567,Action
-Xl95IW5H_s,63.38938945312915,148.095003,Starting a campfire,178.16666666666663,v_-Xl95IW5H_s.mp4,30.0,5345,Action
maXU1lGguxs,10.39562183,59.04174628,Playing violin,85.06666666666666,v_maXU1lGguxs.mp4,30.0,2552,Action
R4ES1QLRvtg,3.3613190327613105,92.8016341653666,Shoveling snow,187.26666666666668,v_R4ES1QLRvtg.mp4,30.0,5618,Action
R4ES1QLRvtg,101.57029251170046,105.077755850234,Shoveling snow,187.26666666666668,v_R4ES1QLRvtg.mp4,30.0,5618,Action
R4ES1QLRvtg,113.26183697347895,119.10760920436815,Shoveling snow,187.26666666666668,v_R4ES1QLRvtg.mp4,30.0,5618,Action
R4ES1QLRvtg,129.9222878315133,174.35015678627144,Shoveling snow,187.26666666666668,v_R4ES1QLRvtg.mp4,30.0,5618,Action
jafEh82XETQ,10.184159699999999,111.5951019,Making a sandwich,111.53333333333332,v_jafEh82XETQ.mp4,30.0,3346,Action
0YQPGAsZPgY,0.2,166.09233560090703,Playing congas,166.03333333333333,v_0YQPGAsZPgY.mp4,30.0,4981,Action
5Bo0gFXxDQk,0.2,15.382024774143305,Welding,16.933333333333334,v_5Bo0gFXxDQk.mp4,30.0,508,Action
hmT9H0IjiGs,62.88290684552553,181.58700215288607,Making a lemonade,215.5,v_hmT9H0IjiGs.mp4,30.0,6465,Action
97McCuWAynA,3.4238205849478187,5.604253606754671,Surfing,127.26666666666668,v_97McCuWAynA.mp4,30.0,3818,Action
WEohpavjsIY,12.764816878389421,134.88156501498156,Cumbia,136.3,v_WEohpavjsIY.mp4,30.0,4089,Action
IGcsVPa34Hc,7.35785023400936,30.76919188767551,Baking cookies,214.33333333333331,v_IGcsVPa34Hc.mp4,30.0,6430,Action
IGcsVPa34Hc,100.66876911076444,113.71223088923556,Baking cookies,214.33333333333331,v_IGcsVPa34Hc.mp4,30.0,6430,Action
IGcsVPa34Hc,139.7991544461778,148.49479563182533,Baking cookies,214.33333333333331,v_IGcsVPa34Hc.mp4,30.0,6430,Action
IGcsVPa34Hc,191.63855382215286,213.71210452418097,Baking cookies,214.33333333333331,v_IGcsVPa34Hc.mp4,30.0,6430,Action
qogdv5DWzkQ,0.01,185.6565899342688,Braiding hair,221.33333333333331,v_qogdv5DWzkQ.mp4,30.0,6640,Action
gSeE_Ms-2TI,0.01,152.00033074885772,Roof shingle removal,158.26666666666668,v_gSeE_Ms-2TI.mp4,30.0,4748,Action
1PTNnaEu8xo,30.848778375624814,117.53129481903277,Capoeira,162.83333333333334,v_1PTNnaEu8xo.mp4,30.0,4885,Action
rhOtqArO-3Y,33.55073344158256,165.94986433470945,Slacklining,231.2,v_rhOtqArO-3Y.mp4,30.0,6936,Action
xr64cSwpNOM,1.6752152886115446,80.66805928237129,Chopping wood,82.6,v_xr64cSwpNOM.mp4,30.0,2478,Action
xi4puZ1ulP4,109.72865990639627,182.4106661466459,Removing curlers,226.1,v_xi4puZ1ulP4.mp4,30.0,6783,Action
x99PS_O6JW8,3.3768127925117004,14.511168486739464,Smoking hookah,116.8,v_x99PS_O6JW8.mp4,30.0,3504,Action
x99PS_O6JW8,47.731705148205926,88.0709282371295,Smoking hookah,116.8,v_x99PS_O6JW8.mp4,30.0,3504,Action
D_XMD02v690,10.013958631814662,192.08593267862722,Doing a powerbomb,194.46666666666667,v_D_XMD02v690.mp4,30.0,5834,Action
lVMMPkvnid8,25.40789859594384,49.335725429017174,Playing ten pins,158.06666666666666,v_lVMMPkvnid8.mp4,30.0,4742,Action
lVMMPkvnid8,68.32997971918877,79.43051794071762,Playing ten pins,158.06666666666666,v_lVMMPkvnid8.mp4,30.0,4742,Action
lVMMPkvnid8,83.1306973478939,88.31094851794073,Playing ten pins,158.06666666666666,v_lVMMPkvnid8.mp4,30.0,4742,Action
lVMMPkvnid8,98.43722152886114,110.77271294851792,Playing ten pins,158.06666666666666,v_lVMMPkvnid8.mp4,30.0,4742,Action
lVMMPkvnid8,142.35157098283932,157.89429017160685,Playing ten pins,158.06666666666666,v_lVMMPkvnid8.mp4,30.0,4742,Action
qJYp25ni6tg,21.39858285487882,181.43587089547586,Preparing salad,193.1,v_qJYp25ni6tg.mp4,30.0,5793,Action
mQHY2uMOMP4,29.183462065013213,94.03559879251169,Getting a haircut,115.36666666666666,v_mQHY2uMOMP4.mp4,30.0,3461,Action
